"Year","Month","State","Genus Species","Serotype or Genotype","Etiology Status","Location of Preparation","Illnesses","Hospitalizations","Deaths","Food Vehicle","Contaminated Ingredient"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2013,8,"Minnesota","Salmonella enterica","Typhimurium; Uganda; I 4,[5],12:i:-; Typhimurium; Uganda; Chailey; I 4,[5],12:i:-; Infantis; Typhimurium; Typhimurium; Uganda; Typhimurium; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected; Suspected","Fair, festival, other temp or mobile services",119,11,0,"pork; tripe; potato, unspecified; rice, unspecified; corn; guinea pig","pork; pork; potato; rice; corn; guinea pig"
2012,12,"Multistate","Escherichia coli","O121","Confirmed","Private home/residence",35,9,0,"frozen meal",NA
2012,12,"Multistate","Shiga toxin-producing","O121","Confirmed","Private home/residence",35,9,0,"frozen meal",NA
2013,6,"Massachusetts","Norovirus Genogroup I","GI_4","Confirmed","Restaurant - Sit-down dining",32,0,0,"oysters, raw",NA
2010,7,"Multistate","Salmonella enterica","Newport","Confirmed","Restaurant - Sit-down dining",41,5,0,"guacamole",NA
2013,8,"Tennessee","Salmonella enterica","Enteritidis;","Confirmed; Confirmed","School/college/university",24,1,0,"ground chicken","chicken"
2013,9,"Ohio","Salmonella enterica","I 4,[5],12:i:-","Confirmed","Restaurant - Sit-down dining",32,8,0,"prime rib and aus jus",NA
2013,9,"Illinois","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining",23,7,0,"refried beans, unspecified",NA
2013,5,"California","Salmonella enterica","Enteritidis","Confirmed","School/college/university",27,2,0,"tomatoes, raw","tomato"
2013,7,"Alabama","Salmonella enterica","Heidelberg","Confirmed","Religious facility",38,30,0,"green beans, unspecified; macaroni and cheese",NA
2013,10,"Alabama","Salmonella enterica","Senftenberg","Confirmed","Religious facility",50,3,0,"white beans with ham",NA
2013,10,"Connecticut","Norovirus Genogroup I","other","Confirmed","Banquet Facility (food prepared and served on-site)",34,0,0,"hors d'oeuvres; water; ice, unspecified",NA
2011,6,"Multistate","Salmonella enterica","Enteritidis","Confirmed","Private home/residence",67,6,0,"pork, roasted",NA
2013,7,"Arizona","Escherichia coli","O157:H7","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",94,22,0,"lettuce","lettuce"
2013,7,"Arizona","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",94,22,0,"lettuce","lettuce"
2013,10,"Pennsylvania","Escherichia coli","O157:H7","Confirmed","Restaurant - Sit-down dining",24,8,0,"ground beef, hamburger",NA
2013,10,"Pennsylvania","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - Sit-down dining",24,8,0,"ground beef, hamburger",NA
2013,11,"Tennessee","Salmonella enterica","Heidelberg","Confirmed","Prison/jail",24,3,0,"chicken","chicken"
2013,3,"Multistate","Salmonella enterica","Saintpaul","Confirmed",NA,131,23,0,"cherry tomato; grape tomato",NA
2013,12,"New York","Salmonella enterica","Newport","Confirmed","Restaurant - Sit-down dining",43,1,0,"fish hot pot; beef lung in chili sauce; pork kidney and chicken dish",NA
2013,4,"Multistate","Salmonella enterica","Newport","Confirmed","Private home/residence",39,9,0,"ground beef",NA
2013,12,"Connecticut","Norovirus Genogroup II","GII_7","Confirmed","Caterer (food prepared off-site from where served)",22,0,0,"sushi, unspecified",NA
2013,11,"Michigan","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining",62,2,0,"thai chicken lettuce wrap; salad, unspecified; chicken, grilled","egg; egg; egg"
2014,1,"Virginia","Norovirus Genogroup I","GI_3B","Confirmed","Grocery store",34,0,0,"submarine sandwich",NA
2013,10,"Multistate","Escherichia coli","O157:H7","Confirmed","Caterer (food prepared off-site from where served)",33,9,0,"romaine lettuce, unspecified",NA
2013,10,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Caterer (food prepared off-site from where served)",33,9,0,"romaine lettuce, unspecified",NA
2013,8,"California","Escherichia coli","O157:H7","Confirmed","Restaurant - Sit-down dining",22,7,0,"noodles",NA
2013,8,"California","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - Sit-down dining",22,7,0,"noodles",NA
2014,1,"Florida","Norovirus Genogroup II","GII_4 Sydney (2012)","Confirmed","Private home/residence",37,2,0,"sandwich, speciality",NA
2014,1,"Minnesota","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining",36,2,0,"rolls",NA
2014,2,"Virginia","Norovirus Genogroup II","other","Confirmed","Restaurant - Sit-down dining",44,0,0,"salad, unspecified","carrots; cucumber; peppers, green; tomato"
2013,3,"Multistate","Salmonella enterica","Heidelberg","Confirmed",NA,634,200,0,"chicken",NA
2013,5,"California","Salmonella enterica","Newport","Confirmed","Private home/residence",137,6,0,"beef(fresly killed cow), raw and/or undercooked; beef(fresly killed cow), raw and/or undercooked; beef(fresly killed cow), raw and/or undercooked","beef; beef; beef"
2013,6,"Wisconsin","Salmonella enterica","Braenderup","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",75,5,0,"vegetables",NA
2013,5,"Wisconsin","Salmonella enterica","Uganda","Confirmed","Religious facility",25,2,0,"beef, laab raw; boiled beef","beef"
2014,3,"Michigan","Norovirus Genogroup II","GII_4 Sydney (2012)","Confirmed","Restaurant - Sit-down dining",135,6,0,"guacamole; sour cream",NA
2014,3,"Michigan","Norovirus Genogroup I","GI_3","Confirmed","Restaurant - Sit-down dining",294,0,0,"sauces, unspecified",NA
2014,2,"Texas","Salmonella enterica","Enteritidis","Confirmed","Caterer (food prepared off-site from where served)",21,1,0,"chicken dishes",NA
2013,4,"Multistate","Escherichia coli","O26","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",26,5,0,"lettuce",NA
2013,4,"Multistate","Shiga toxin-producing","O26","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter)",26,5,0,"lettuce",NA
2014,4,"Ohio","Norovirus Genogroup II","GII_14","Confirmed","Restaurant - Sit-down dining",28,1,0,"salad, unspecified",NA
2013,3,"Nebraska","Salmonella enterica","Typhimurium","Confirmed","Restaurant - Sit-down dining",64,2,0,"quesadillas; chicken; cheese; tortilla, unspecified; cilantro, unspecified",NA
2014,7,"Minnesota","Escherichia coli","O157:H7","Confirmed","Caterer (food prepared off-site from where served)",57,9,0,"potato salad; celery, unspecified","celery; celery"
2014,7,"Minnesota","Shiga toxin-producing","O157:H7","Confirmed","Caterer (food prepared off-site from where served)",57,9,0,"potato salad; celery, unspecified","celery; celery"
2014,4,"Wisconsin","Norovirus Genogroup I","GI_3B","Confirmed","Banquet Facility (food prepared and served on-site)",22,0,0,"fruit salad; cake",NA
2014,8,"Virginia","Salmonella enterica","Thompson","Confirmed","Private home/residence; Caterer (food prepared off-site from where served)",37,3,0,"sandwich, chicken","chicken"
2014,7,"New York","Salmonella enterica","Newport","Confirmed","Unknown",21,5,0,"cucumber",NA
2014,4,"Maryland","Norovirus Genogroup II","unknown","Confirmed; Confirmed","Other (describe in remarks)",216,0,0,"chicken, marsala",NA
2014,8,"Kansas","Salmonella enterica","Thompson","Confirmed","Religious facility",30,1,0,"tostada, unspecified",NA
2014,5,"North Carolina","Salmonella enterica","Enteritidis","Confirmed","Restaurant - Sit-down dining",46,0,0,"remoulade",NA
2012,3,"Multistate","Escherichia coli","O157:H7","Confirmed","School/college/university",24,NA,NA,"leaf lettuce",NA
2012,3,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","School/college/university",24,NA,NA,"leaf lettuce",NA
2014,9,"Wisconsin","Escherichia coli","unknown;","Confirmed; Confirmed; Suspected","Private home/residence",38,10,0,"milk, whole milk unpasteurized",NA
2014,9,"Wisconsin","Shiga toxin-producing","unknown;","Confirmed; Confirmed; Suspected","Private home/residence",38,10,0,"milk, whole milk unpasteurized",NA
2013,11,"Multistate","Salmonella enterica","Javiana","Confirmed",NA,33,6,0,"fish, tilapia",NA
2014,9,"Connecticut","Norovirus Genogroup I","other","Confirmed","Caterer (food prepared off-site from where served)",39,0,0,"turkey wrap",NA
2014,10,"Wisconsin","Salmonella enterica","I 4,[5],12:i:-; I 4,[5],12:i:-","Confirmed; Confirmed","Caterer (food prepared off-site from where served)",42,8,0,"beans, baked",NA
2014,10,"Wisconsin","Salmonella enterica","I 4,[5],12:i:-; I 4,[5],12:i:-","Confirmed; Confirmed","Caterer (food prepared off-site from where served)",42,8,0,"beans, baked",NA
2014,10,"Wisconsin","Norovirus Genogroup II","GII_6","Confirmed","Grocery store",31,0,0,"pasta salad",NA
2014,5,"Multistate","Salmonella enterica","Newport","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining; Restaurant - other or unknown type; Private home/residence; Grocery store; Long-term care/nursing home/as...",275,48,1,"cucumber",NA
2014,12,"Minnesota","Norovirus Genogroup I","GI_2","Confirmed","Restaurant - Sit-down dining",30,0,0,"appetizers; appetizers; artichoke dip",NA
2014,12,"Florida","Norovirus Genogroup II","GII_4 Sydney (2012)","Confirmed","Caterer (food prepared off-site from where served)",31,0,0,"ice; green beans; chicken, marsala","ice; green beans; chicken; mushrooms"
2014,12,"Florida","Norovirus Genogroup I","unknown","Confirmed","Restaurant - other or unknown type",22,0,0,"cheese and crackers",NA
2014,12,"Georgia","Salmonella enterica","Thompson","Confirmed","Caterer (food prepared off-site from where served)",56,4,0,"chicken, smoked","chicken"
2014,12,"Florida","Norovirus Genogroup II","unknown","Confirmed",NA,33,0,0,"buffet","buffet"
2014,9,"Hawaii","Salmonella enterica","Oslo","Suspected","Restaurant - Sit-down dining",24,1,0,"vegetables",NA
2014,9,"Multistate","Salmonella enterica","Enteritidis","Confirmed","Restaurant - ""Fast-food""(drive up service or pay at counter); Restaurant - Sit-down dining; Restaurant - other or unknown type; Grocery store; Office/indoor workplace",115,19,0,"mung bean sprouts",NA
2014,1,"Multistate","Salmonella enterica","Newport; Hartford; Oranienburg","Confirmed; Confirmed; Confirmed","Private home/residence",31,5,0,"chia seed powder",NA
2014,1,"Multistate","Salmonella enterica","Newport; Hartford; Oranienburg","Confirmed; Confirmed; Confirmed","Private home/residence",31,5,0,"chia seed powder",NA
2014,1,"Multistate","Salmonella enterica","Newport; Hartford; Oranienburg","Confirmed; Confirmed; Confirmed","Private home/residence",31,5,0,"chia seed powder",NA
2015,2,"Virginia","Norovirus Genogroup II","GII_4 Sydney (2012)","Confirmed","Private home/residence",21,1,0,"peas, green",NA
2015,2,"Ohio","Norovirus Genogroup II","GII_4 Sydney (2012)","Confirmed","Restaurant - Sit-down dining; Private home/residence",35,0,0,"cantaloupe; pineapple, unspecified; grapes",NA
2015,2,"Montana","Salmonella enterica","Braenderup","Confirmed","Restaurant - Sit-down dining",39,1,0,"garden salad",NA
2014,7,"Multistate","Salmonella enterica","Typhimurium","Confirmed","Private home/residence",47,11,0,"ground beef",NA
2014,8,"Multistate","Salmonella enterica","Saintpaul","Confirmed",NA,27,10,0,"grapes, unspecified",NA
2004,4,"Multistate","Escherichia coli","O157:H7","Confirmed","Restaurant - other or unknown type; Private home/residence",59,18,NA,"ground beef","ground beef"
2004,4,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - other or unknown type; Private home/residence",59,18,NA,"ground beef","ground beef"
2004,4,"Multistate","Salmonella enterica","Bovismorbificans","Confirmed","Other (describe in remarks)",35,5,NA,"alfalfa sprouts","sprouts"
2004,7,"Multistate","Salmonella enterica","Newport","Confirmed","Restaurant - other or unknown type",97,NA,NA,"iceberg lettuce, unspecified","leafy green"
2004,6,"Multistate","Salmonella enterica","Braenderup","Confirmed","Restaurant - other or unknown type; Private home/residence",137,25,0,"roma tomato","vine-stalk eg. tomato"
2004,7,"Multistate","Salmonella enterica","Javiana; Typhimurium; Thompson; Muenchen; unknown; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Restaurant - other or unknown type",429,129,0,"roma tomato","vine-stalk eg. tomato"
2004,7,"Multistate","Salmonella enterica","Javiana; Typhimurium; Thompson; Muenchen; unknown; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Restaurant - other or unknown type",429,129,0,"roma tomato","vine-stalk eg. tomato"
2004,7,"Multistate","Salmonella enterica","Javiana; Typhimurium; Thompson; Muenchen; unknown; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Restaurant - other or unknown type",429,129,0,"roma tomato","vine-stalk eg. tomato"
2004,7,"Multistate","Salmonella enterica","Javiana; Typhimurium; Thompson; Muenchen; unknown; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Restaurant - other or unknown type",429,129,0,"roma tomato","vine-stalk eg. tomato"
2004,7,"Multistate","Salmonella enterica","Javiana; Typhimurium; Thompson; Muenchen; unknown; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Restaurant - other or unknown type",429,129,0,"roma tomato","vine-stalk eg. tomato"
2004,7,"Multistate","Salmonella enterica","Javiana; Typhimurium; Thompson; Muenchen; unknown; Anatum","Confirmed; Confirmed; Confirmed; Confirmed; Confirmed; Confirmed","Restaurant - other or unknown type",429,129,0,"roma tomato","vine-stalk eg. tomato"
2004,6,"Multistate","Salmonella enterica","Berta","Confirmed","Restaurant - other or unknown type",155,16,NA,"taco, beef; eggs, unspecified; onion, unspecified","beef"
2004,8,"Multistate","Salmonella enterica","Typhimurium","Confirmed","Private home/residence",34,NA,NA,"ground beef, unspecified",NA
2005,9,"North Carolina","Salmonella enterica","Enteritidis","Confirmed","Restaurant - other or unknown type",83,2,0,"chicken, grilled",NA
2005,7,"Colorado","Salmonella enterica","Newport","Confirmed","Unknown",24,7,1,"cantaloupe; ground beef, unspecified",NA
2005,10,"Oregon","Escherichia coli","O157:H7","Confirmed","Restaurant - other or unknown type",64,1,0,"other food",NA
2005,10,"Oregon","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - other or unknown type",64,1,0,"other food",NA
1999,11,"Wisconsin","Salmonella enterica","Enteritidis","Confirmed","Restaurant - other or unknown type",33,0,0,"lasagna, unspecified; ravioli, unspecified; eggs, other",NA
1999,12,"Washington","Norovirus Genogroup II","unknown","Confirmed","Private home/residence; Grocery store; Other (describe in remarks)",62,2,0,"water; celery, unspecified; peppers, green",NA
1999,9,"Washington","Norovirus Genogroup I","unknown","Confirmed","Other (describe in remarks)",115,NA,NA,"tomato, unspecified; leaf lettuce, unspecified",NA
1999,5,"Virginia","Salmonella enterica","Muenchen","Confirmed","Restaurant - other or unknown type",22,NA,0,"chicken, other",NA
1999,5,"Virginia","Salmonella enterica","Enteritidis","Confirmed","Restaurant - other or unknown type",177,8,0,"french toast, unspecified; pork, bacon; ham, unspecified","egg"
1999,6,"Utah","Salmonella enterica","Enteritidis","Confirmed","Caterer (food prepared off-site from where served)",256,0,0,"ice cream, unspecified","egg"
1998,6,"Texas","Escherichia coli","O157:H7","Confirmed",NA,23,NA,NA,"hot dog, unspecified",NA
1998,6,"Texas","Shiga toxin-producing","O157:H7","Confirmed",NA,23,NA,NA,"hot dog, unspecified",NA
1998,5,"Tennessee","Salmonella enterica","Baildon","Confirmed","Restaurant - other or unknown type",264,12,0,"salad, unspecified",NA
1999,11,"Tennessee","Norovirus Genogroup II","unknown","Confirmed","Caterer (food prepared off-site from where served)",42,0,0,"mixed fruit",NA
1999,5,"Pennsylvania","Salmonella enterica","Heidelberg","Confirmed","Private home/residence",25,NA,NA,"caesar salad",NA
1999,2,"Pennsylvania","Salmonella enterica","Hadar","Confirmed","Caterer (food prepared off-site from where served)",104,5,0,"chicken, baked","chicken"
1998,11,"Oregon","Salmonella enterica","Typhimurium;","Confirmed; Suspected","Private home/residence",22,1,0,"turkey, unspecified",NA
1999,7,"Oregon","Norovirus Genogroup I","unknown","Confirmed",NA,43,0,0,"shrimp dishes unspecified",NA
1999,10,"Oklahoma","Escherichia coli","O157:H7","Confirmed","Other (describe in remarks)",25,6,0,"apple cider, unpasteurized",NA
1999,10,"Oklahoma","Shiga toxin-producing","O157:H7","Confirmed","Other (describe in remarks)",25,6,0,"apple cider, unpasteurized",NA
1999,12,"Ohio","Norovirus Genogroup II","unknown","Confirmed","Restaurant - other or unknown type",73,NA,0,"ice cream, unspecified",NA
1999,10,"Ohio","Escherichia coli","O157:H7","Confirmed","Restaurant - other or unknown type",47,23,0,"salad, unspecified","leafy green"
1999,10,"Ohio","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - other or unknown type",47,23,0,"salad, unspecified","leafy green"
1999,9,"Ohio","Salmonella enterica","Typhimurium","Confirmed","School/college/university; Other (describe in remarks)",82,NA,0,"chocolate milk, unspecified",NA
1998,6,"New York","Salmonella enterica","Typhimurium","Confirmed","Restaurant - other or unknown type",134,10,0,"multiple foods",NA
1999,6,"New York","Salmonella enterica","Enteritidis","Confirmed","Restaurant - other or unknown type",23,NA,NA,"cake, tiramisu","egg"
1999,11,"New York","Salmonella enterica","Stanley","Confirmed","Child day care",34,NA,NA,"turkey, roasted","turkey"
1999,6,"New York","Salmonella enterica","Heidelberg","Confirmed","Other (describe in remarks)",41,NA,NA,"chicken, bbq","chicken"
1999,6,"New Mexico","Salmonella enterica","Oranienburg","Confirmed","Restaurant - other or unknown type",73,16,0,"nachos and cheese; burrito, beef",NA
1999,8,"New Jersey","Salmonella enterica","Group B","Confirmed","Camp",60,1,NA,"eggs, unspecified",NA
1999,5,"Nebraska","Norovirus Genogroup II","other","Confirmed","Restaurant - other or unknown type",127,0,0,"dips, unspecified",NA
1999,3,"Nebraska","Norovirus Genogroup II","unknown","Confirmed","Private home/residence; Caterer (food prepared off-site from where served)",46,0,0,"mints, unspecified",NA
1999,2,"Nebraska","Escherichia coli","O157:H7","Confirmed","Restaurant - other or unknown type",65,8,0,"lettuce-based salads unspecified","leafy green"
1999,2,"Nebraska","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - other or unknown type",65,8,0,"lettuce-based salads unspecified","leafy green"
1998,7,"North Carolina","Escherichia coli","O157:H7","Confirmed","Restaurant - other or unknown type",143,NA,NA,"coleslaw",NA
1998,7,"North Carolina","Shiga toxin-producing","O157:H7","Confirmed","Restaurant - other or unknown type",143,NA,NA,"coleslaw",NA
1999,5,"Missouri","Salmonella enterica","Enteritidis","Confirmed","Religious facility",39,2,0,"pie, merengue","cream filling"
1999,6,"Multistate","Salmonella enterica","Muenchen","Confirmed","Other (describe in remarks)",398,NA,NA,"orange juice, unpasteurized",NA
1999,11,"Multistate","Salmonella enterica","Newport","Confirmed","Other (describe in remarks)",79,NA,NA,"mango, unspecified","fruit, unspecified"
1999,1,"Multistate","Salmonella enterica","Mbandaka","Confirmed","Other (describe in remarks)",83,9,0,"alfalfa sprouts",NA
1998,5,"Multistate","Norovirus Genogroup II","unknown","Confirmed","Other (describe in remarks)",171,NA,NA,"oysters, unspecified",NA
1998,4,"Multistate","Salmonella enterica","Agona","Confirmed","Other (describe in remarks)",209,47,NA,"cereal, oat","dry cereal"
1998,5,"Multistate","Escherichia coli","O157:H7","Confirmed","Other (describe in remarks)",34,10,0,"ground beef, unspecified",NA
1998,5,"Multistate","Shiga toxin-producing","O157:H7","Confirmed","Other (describe in remarks)",34,10,0,"ground beef, unspecified",NA
1998,12,"Multistate","Salmonella enterica","Baildon","Confirmed","Long-term care/nursing home/assisted living facility; Other (describe in remarks)",86,16,3,"tomato, unspecified",NA
1999,4,"Maryland","Salmonella enterica","Enteritidis","Confirmed","Restaurant - other or unknown type; Caterer (food prepared off-site from where served)",65,3,0,"chicken salad; ham, unspecified","chicken; pork"
1999,9,"Maryland","Salmonella enterica","Typhimurium","Confirmed","School/college/university",49,6,0,"other cheese, unspecified",NA
1999,3,"Maryland","Salmonella enterica","Hadar","Confirmed","Other (describe in remarks)",55,NA,NA,"chicken salad",NA
1999,5,"Massachusetts","Salmonella enterica","Enteritidis","Confirmed","Restaurant - other or unknown type",70,NA,0,"manicotti, unspecified","egg"
1998,8,"Louisiana","Salmonella enterica","Infantis","Confirmed","Private home/residence",63,9,0,"rice dishes, unspecified",NA
1999,10,"Idaho","Escherichia coli","O157:H7","Confirmed","Other (describe in remarks)",33,3,0,"sausage, mixed meats",NA
1999,10,"Idaho","Shiga toxin-producing","O157:H7","Confirmed","Other (describe in remarks)",33,3,0,"sausage, mixed meats",NA
1998,5,"Iowa","Norovirus Genogroup II","GII_2","Confirmed","Restaurant - other or unknown type",51,0,0,"deli meat, unspecified",NA
1998,8,"Georgia","Salmonella enterica","Typhimurium","Confirmed","Restaurant - other or unknown type",33,NA,NA,"pork, bbq",NA
1998,4,"Georgia","Norovirus Genogroup II","unknown","Confirmed","Other (describe in remarks)",51,NA,NA,"salad, unspecified",NA
1999,9,"Georgia","Salmonella enterica","Hadar","Confirmed","Restaurant - other or unknown type; Private home/residence",60,24,0,"pork, bbq",NA
1998,4,"Florida","Norovirus Genogroup II","unknown","Confirmed","Child day care",40,NA,NA,"hot dog, unspecified",NA
1998,11,"Florida","Norovirus Genogroup II","unknown","Confirmed","Other (describe in remarks)",31,0,0,"ice",NA
1999,1,"Colorado","Salmonella enterica","Typhimurium","Confirmed","Other (describe in remarks)",112,3,0,"clover sprouts",NA
1999,12,"California","Salmonella enterica","Enteritidis","Confirmed","Restaurant - other or unknown type",108,13,0,"chicken, unspecified; mung bean sprouts","chicken"
1999,7,"California","Salmonella enterica","Enteritidis","Confirmed","School/college/university",29,NA,NA,"eggs, unspecified","egg"
1999,1,"California","Salmonella enterica","Enteritidis","Confirmed","Restaurant - other or unknown type",31,6,0,"chile relleno, unspecified; rice, yellow","egg; egg"
1998,7,"Arizona","Salmonella enterica","Enteritidis","Confirmed","Restaurant - other or unknown type; Other (describe in remarks)",58,11,0,"chile rellenos","egg"
2000,8,"West Virginia","Norovirus Genogroup I","unknown","Confirmed",NA,37,0,NA,"ice",NA
2000,7,"West Virginia","Norovirus Genogroup I","unknown","Confirmed","Camp",25,0,NA,"water, unspecified",NA
2000,10,"Wisconsin","Escherichia coli","O157:H7","Confirmed","School/college/university",29,4,0,"cake, brownie",NA
